application_id,loan_id,vintage,split,utilization,late_payments,debt_to_income,bureau_age_months,income_band,audit_group,channel,raw_pd,calibrated_pd,challenger_pd,lgd,ead,observed_default,reason_codes,provenance
SYN-APP-00001,SYN-LOAN-00001,2029-07,train,0.1115,4,0.4639,100,upper,Synthetic group B,marketplace,0.110148,0.106727,0.110123,0.597,7602,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00002,SYN-LOAN-00002,2029-07,train,0.8673,0,0.3147,179,middle,Synthetic group C,partner,0.149408,0.140491,0.150235,0.4171,5251,false,HIGH_UTILIZATION,synthetic
SYN-APP-00003,SYN-LOAN-00003,2029-07,train,0.923,2,0.2183,171,middle,Synthetic group A,partner,0.303583,0.273081,0.268063,0.3857,15165,false,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00004,SYN-LOAN-00004,2029-07,train,0.3575,4,0.467,70,highest,Synthetic group B,direct,0.187391,0.173157,0.174418,0.684,21424,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00005,SYN-LOAN-00005,2029-07,train,0.5346,3,0.3,16,lower,Synthetic group A,direct,0.404873,0.360191,0.341595,0.4526,19017,true,RECENT_LATE_PAYMENTS|SHORT_BUREAU_HISTORY|LOWER_INCOME_BAND,synthetic
SYN-APP-00006,SYN-LOAN-00006,2029-07,train,0.2335,4,0.255,43,middle,Synthetic group A,partner,0.182836,0.169239,0.163148,0.404,21198,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00007,SYN-LOAN-00007,2029-07,train,0.4077,3,0.2257,21,middle,Synthetic group B,direct,0.206492,0.189583,0.183831,0.5615,8645,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00008,SYN-LOAN-00008,2029-07,train,0.44,3,0.6693,40,middle,Synthetic group A,direct,0.325975,0.292339,0.288427,0.6687,4634,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00009,SYN-LOAN-00009,2029-07,train,0.1085,3,0.6399,102,upper,Synthetic group A,direct,0.092069,0.091179,0.100651,0.675,22483,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00010,SYN-LOAN-00010,2029-07,train,0.9056,1,0.1208,161,upper,Synthetic group C,direct,0.157876,0.147773,0.152437,0.5471,20305,false,HIGH_UTILIZATION,synthetic
SYN-APP-00011,SYN-LOAN-00011,2029-07,train,0.7534,2,0.5265,78,middle,Synthetic group B,direct,0.365627,0.326439,0.321045,0.6506,4164,true,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00012,SYN-LOAN-00012,2029-07,train,0.4272,4,0.1264,69,middle,Synthetic group A,marketplace,0.232587,0.212025,0.201798,0.3391,17283,true,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00013,SYN-LOAN-00013,2029-07,train,0.2892,0,0.095,118,middle,Synthetic group B,direct,0.028577,0.036576,0.040594,0.3202,10607,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-00014,SYN-LOAN-00014,2029-07,train,0.4964,3,0.4966,21,highest,Synthetic group B,partner,0.225414,0.205856,0.207117,0.3725,26016,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00015,SYN-LOAN-00015,2029-07,train,0.3037,0,0.4386,128,middle,Synthetic group A,direct,0.044839,0.050562,0.062376,0.4842,15331,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-00016,SYN-LOAN-00016,2029-07,train,0.5132,4,0.6192,48,highest,Synthetic group B,marketplace,0.330377,0.296124,0.291849,0.5462,14816,true,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00017,SYN-LOAN-00017,2029-07,train,0.118,3,0.5178,68,lower,Synthetic group A,partner,0.175235,0.162702,0.162019,0.4152,11056,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME|LOWER_INCOME_BAND,synthetic
SYN-APP-00018,SYN-LOAN-00018,2029-07,train,0.2045,1,0.6496,87,middle,Synthetic group C,direct,0.076736,0.077993,0.090764,0.4697,29828,false,HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00019,SYN-LOAN-00019,2029-07,train,0.2062,4,0.2349,135,upper,Synthetic group A,marketplace,0.09498,0.093683,0.094134,0.5955,11241,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00020,SYN-LOAN-00020,2029-07,train,0.8616,2,0.2915,124,middle,Synthetic group C,partner,0.325705,0.292106,0.285984,0.5729,7929,false,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00021,SYN-LOAN-00021,2029-07,train,0.5636,3,0.542,129,upper,Synthetic group C,partner,0.238032,0.216707,0.219273,0.6121,13353,true,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00022,SYN-LOAN-00022,2029-07,train,0.0644,3,0.4485,96,highest,Synthetic group C,direct,0.052385,0.057051,0.064166,0.4645,27191,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00023,SYN-LOAN-00023,2029-07,train,0.5591,0,0.361,158,middle,Synthetic group B,partner,0.074651,0.0762,0.08803,0.3037,22288,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-00024,SYN-LOAN-00024,2029-07,train,0.176,2,0.1609,91,middle,Synthetic group C,direct,0.055788,0.059978,0.061332,0.5833,28107,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00025,SYN-LOAN-00025,2029-07,train,0.4628,1,0.1655,141,middle,Synthetic group B,direct,0.070294,0.072453,0.077841,0.5932,11462,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-00026,SYN-LOAN-00026,2029-07,train,0.3662,4,0.617,160,middle,Synthetic group C,marketplace,0.253799,0.230268,0.229874,0.693,12444,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00027,SYN-LOAN-00027,2029-07,train,0.3757,0,0.5345,37,middle,Synthetic group B,marketplace,0.087119,0.086923,0.09889,0.5502,19768,false,HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00028,SYN-LOAN-00028,2029-07,train,0.4377,1,0.2843,17,upper,Synthetic group C,partner,0.092701,0.091723,0.097821,0.6317,23704,false,SHORT_BUREAU_HISTORY,synthetic
SYN-APP-00029,SYN-LOAN-00029,2029-07,train,0.04,1,0.2574,74,upper,Synthetic group B,direct,0.023237,0.031984,0.036198,0.3475,19653,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-00030,,2029-07,train,0.7827,4,0.0802,129,lower,Synthetic group A,partner,0.507592,0.448529,0.41985,0.4376,18279,false,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|LOWER_INCOME_BAND,synthetic
SYN-APP-00031,SYN-LOAN-00031,2029-07,train,0.429,0,0.5897,28,upper,Synthetic group A,direct,0.086361,0.08627,0.100697,0.5655,25258,false,HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00032,SYN-LOAN-00032,2029-07,train,0.8937,1,0.4562,8,middle,Synthetic group C,partner,0.409742,0.364379,0.355888,0.4342,28548,false,HIGH_UTILIZATION|SHORT_BUREAU_HISTORY,synthetic
SYN-APP-00033,SYN-LOAN-00033,2029-07,train,0.7253,2,0.0896,64,lower,Synthetic group C,direct,0.329789,0.295618,0.281442,0.5787,4645,false,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|LOWER_INCOME_BAND,synthetic
SYN-APP-00034,SYN-LOAN-00034,2029-07,train,0.967,0,0.3257,19,middle,Synthetic group B,marketplace,0.313178,0.281333,0.279074,0.2834,28742,false,HIGH_UTILIZATION,synthetic
SYN-APP-00035,SYN-LOAN-00035,2029-07,train,0.5138,0,0.585,159,lower,Synthetic group A,direct,0.130692,0.124396,0.136414,0.5478,22275,false,HIGH_DEBT_TO_INCOME|LOWER_INCOME_BAND,synthetic
SYN-APP-00036,SYN-LOAN-00036,2029-07,train,0.0923,2,0.4811,157,upper,Synthetic group A,direct,0.039482,0.045955,0.055529,0.3213,4579,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00037,SYN-LOAN-00037,2029-07,train,0.3316,0,0.3307,36,upper,Synthetic group B,marketplace,0.045968,0.051532,0.060946,0.3034,19036,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-00038,SYN-LOAN-00038,2029-07,train,0.7372,1,0.6575,97,lower,Synthetic group C,direct,0.387276,0.345058,0.340917,0.6161,22255,true,HIGH_UTILIZATION|HIGH_DEBT_TO_INCOME|LOWER_INCOME_BAND,synthetic
SYN-APP-00039,,2029-07,train,0.5282,4,0.1747,18,lower,Synthetic group A,partner,0.459699,0.407341,0.380657,0.6921,12221,false,RECENT_LATE_PAYMENTS|LOWER_INCOME_BAND,synthetic
SYN-APP-00040,SYN-LOAN-00040,2029-07,train,0.3284,2,0.6403,161,upper,Synthetic group C,marketplace,0.092424,0.091484,0.104895,0.431,14018,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00041,SYN-LOAN-00041,2029-07,train,0.5104,3,0.3448,106,middle,Synthetic group B,direct,0.228408,0.208431,0.20574,0.4622,23009,true,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00042,,2029-07,train,0.791,4,0.4644,105,upper,Synthetic group C,partner,0.482492,0.426943,0.410561,0.4618,2183,false,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00043,SYN-LOAN-00043,2029-07,train,0.6739,3,0.3437,45,highest,Synthetic group C,marketplace,0.268096,0.242562,0.239373,0.3513,15104,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00044,SYN-LOAN-00044,2029-07,train,0.3963,4,0.491,156,lower,Synthetic group C,marketplace,0.335759,0.300753,0.290577,0.664,8564,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME|LOWER_INCOME_BAND,synthetic
SYN-APP-00045,SYN-LOAN-00045,2029-07,train,0.1662,0,0.3335,46,middle,Synthetic group A,direct,0.036083,0.043032,0.050391,0.5204,21322,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-00046,SYN-LOAN-00046,2029-07,train,0.1885,2,0.4414,66,upper,Synthetic group C,partner,0.069616,0.071869,0.079552,0.4468,14917,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00047,,2029-07,train,0.7746,4,0.6875,124,upper,Synthetic group A,partner,0.526457,0.464753,0.450095,0.6884,15046,false,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-00048,SYN-LOAN-00048,2029-07,train,0.1528,1,0.3409,10,lower,Synthetic group B,direct,0.091839,0.090982,0.093497,0.5598,5131,false,SHORT_BUREAU_HISTORY|LOWER_INCOME_BAND,synthetic
SYN-APP-00049,SYN-LOAN-00049,2029-07,train,0.21,1,0.2619,69,upper,Synthetic group A,direct,0.039074,0.045604,0.051633,0.6612,2578,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-00050,SYN-LOAN-00050,2029-07,train,0.9439,1,0.2858,55,middle,Synthetic group A,direct,0.346951,0.310378,0.303761,0.6399,13005,false,HIGH_UTILIZATION,synthetic
SYN-APP-00051,SYN-LOAN-00051,2029-07,train,0.5943,3,0.2939,26,upper,Synthetic group C,partner,0.270057,0.244249,0.238163,0.3195,21566,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-00052,,2029-07,train,0.9078,3,0.4348,11,upper,Synthetic group C,direct,0.548938,0.484087,0.463323,0.3541,21106,true,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|SHORT_BUREAU_HISTORY,synthetic
SYN-APP-00053,,2029-07,train,0.8506,4,0.5283,130,upper,Synthetic group B,direct,0.523733,0.462411,0.445216,0.3293,22777,true,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
