application_id,loan_id,vintage,split,utilization,late_payments,debt_to_income,bureau_age_months,income_band,audit_group,channel,raw_pd,calibrated_pd,challenger_pd,lgd,ead,observed_default,reason_codes,provenance
SYN-APP-11801,SYN-LOAN-11801,2030-06,backtest,0.7238,0,0.2112,82,middle,Synthetic group C,direct,0.245737,0.223334,0.21952,0.6247,24522,false,HIGH_UTILIZATION,synthetic
SYN-APP-11802,SYN-LOAN-11802,2030-06,backtest,0.9399,0,0.2852,145,middle,Synthetic group C,partner,0.348582,0.31178,0.304936,0.3848,7104,true,HIGH_UTILIZATION,synthetic
SYN-APP-11803,SYN-LOAN-11803,2030-06,backtest,0.1497,3,0.312,35,upper,Synthetic group A,direct,0.176579,0.163858,0.158279,0.4605,23015,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-11804,,2030-06,backtest,0.8097,2,0.0917,70,lower,Synthetic group A,marketplace,0.58003,0.510825,0.476702,0.392,8932,false,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|LOWER_INCOME_BAND,synthetic
SYN-APP-11805,SYN-LOAN-11805,2030-06,backtest,0.36,0,0.1169,42,middle,Synthetic group B,partner,0.101544,0.099328,0.098914,0.3581,20524,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-11806,,2030-06,backtest,0.3973,4,0.2749,8,middle,Synthetic group C,marketplace,0.490255,0.433619,0.404556,0.358,8124,false,RECENT_LATE_PAYMENTS|SHORT_BUREAU_HISTORY,synthetic
SYN-APP-11807,SYN-LOAN-11807,2030-06,backtest,0.4543,2,0.6555,13,highest,Synthetic group B,direct,0.324279,0.29088,0.287013,0.6627,9118,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME|SHORT_BUREAU_HISTORY,synthetic
SYN-APP-11808,SYN-LOAN-11808,2030-06,backtest,0.2519,1,0.3776,70,middle,Synthetic group A,marketplace,0.136515,0.129403,0.130815,0.3025,11199,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
SYN-APP-11809,SYN-LOAN-11809,2030-06,backtest,0.2531,4,0.5607,122,middle,Synthetic group B,partner,0.367779,0.32829,0.314595,0.4549,25187,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-11810,,2030-06,backtest,0.7303,2,0.4873,121,middle,Synthetic group A,marketplace,0.488691,0.432274,0.414862,0.3118,10619,true,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-11811,SYN-LOAN-11811,2030-06,backtest,0.3761,3,0.6399,18,upper,Synthetic group A,partner,0.413422,0.367543,0.354196,0.6973,28295,false,RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-11812,SYN-LOAN-11812,2030-06,backtest,0.8921,0,0.158,73,middle,Synthetic group B,direct,0.342449,0.306506,0.296021,0.51,18795,true,HIGH_UTILIZATION,synthetic
SYN-APP-11813,SYN-LOAN-11813,2030-06,backtest,0.6762,1,0.5982,103,middle,Synthetic group B,marketplace,0.399912,0.355925,0.348057,0.4931,16076,true,HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-11814,,2030-06,backtest,0.8684,1,0.2796,74,lower,Synthetic group A,direct,0.57851,0.509519,0.481468,0.4316,15947,true,HIGH_UTILIZATION|LOWER_INCOME_BAND,synthetic
SYN-APP-11815,,2030-06,backtest,0.7459,4,0.0889,82,upper,Synthetic group C,direct,0.544808,0.480535,0.448219,0.4278,17598,true,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS,synthetic
SYN-APP-11816,,2030-06,backtest,0.7289,3,0.3099,34,middle,Synthetic group A,direct,0.617527,0.543073,0.509944,0.4797,13562,false,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS,synthetic
SYN-APP-11817,,2030-06,backtest,0.806,4,0.3057,87,lower,Synthetic group B,marketplace,0.797815,0.698121,0.650765,0.6093,13712,true,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|LOWER_INCOME_BAND,synthetic
SYN-APP-11818,SYN-LOAN-11818,2030-06,backtest,0.3857,4,0.1789,110,upper,Synthetic group B,direct,0.290824,0.262109,0.247492,0.6984,14779,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-11819,SYN-LOAN-11819,2030-06,backtest,0.583,0,0.6222,177,middle,Synthetic group A,direct,0.202777,0.186388,0.19442,0.4508,11065,false,HIGH_DEBT_TO_INCOME,synthetic
SYN-APP-11820,SYN-LOAN-11820,2030-06,backtest,0.6058,3,0.2113,133,middle,Synthetic group A,partner,0.396673,0.353139,0.334223,0.5948,2197,true,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-11821,SYN-LOAN-11821,2030-06,backtest,0.597,3,0.4417,142,upper,Synthetic group B,direct,0.389193,0.346706,0.334266,0.6198,19068,false,RECENT_LATE_PAYMENTS,synthetic
SYN-APP-11822,,2030-06,backtest,0.7436,2,0.6237,11,upper,Synthetic group B,direct,0.583898,0.514152,0.492338,0.4883,5192,true,HIGH_UTILIZATION|RECENT_LATE_PAYMENTS|HIGH_DEBT_TO_INCOME|SHORT_BUREAU_HISTORY,synthetic
SYN-APP-11823,SYN-LOAN-11823,2030-06,backtest,0.174,1,0.4544,22,middle,Synthetic group C,marketplace,0.143987,0.135829,0.137193,0.5478,28219,false,NO_ADVERSE_SYNTHETIC_SIGNAL,synthetic
