week,period_split,category,product_id,product_name,region,channel,order_count,units,unit_price,gross_revenue,promo_depth,discounts,return_rate,returns,net_revenue,cogs,fulfillment,contribution_margin,provenance,injected_anomaly,anomaly_reason
2029-04-01,analysis,Home,H-01,Storage set,North,Direct,57,73,58,4234,0.1173,496.65,0.0308,130.41,3606.94,2263,394.2,949.74,synthetic,false,
2029-04-01,analysis,Home,H-01,Storage set,North,Marketplace,54,71,58,4118,0.0533,219.49,0.0532,219.08,3679.43,2201,414.07,1064.36,synthetic,false,
2029-04-01,analysis,Home,H-01,Storage set,North,Retail,50,62,58,3596,0.0778,279.77,0.037,133.05,3183.18,1922,334.8,926.38,synthetic,false,
2029-04-01,analysis,Home,H-01,Storage set,South,Direct,56,74,58,4292,0.0805,345.51,0.0563,241.64,3704.85,2294,399.6,1011.25,synthetic,false,
2029-04-01,analysis,Home,H-01,Storage set,South,Marketplace,54,63,58,3654,0.1075,392.81,0.0473,172.83,3088.36,1953,367.42,767.94,synthetic,false,
2029-04-01,analysis,Home,H-01,Storage set,South,Retail,41,54,58,3132,0.0993,311.01,0.0231,72.35,2748.64,1674,291.6,783.04,synthetic,false,
2029-04-01,analysis,Home,H-01,Storage set,West,Direct,60,77,58,4466,0.0711,317.53,0.0384,171.49,3976.98,2387,415.8,1174.18,synthetic,false,
2029-04-01,analysis,Home,H-01,Storage set,West,Marketplace,55,70,58,4060,0.1021,414.53,0.0505,205.03,3440.44,2170,408.24,862.2,synthetic,false,
2029-04-01,analysis,Home,H-01,Storage set,West,Retail,41,55,58,3190,0.0479,152.8,0.0475,151.53,2885.67,1705,297,883.67,synthetic,false,
2029-04-01,analysis,Home,H-02,Task lamp,North,Direct,79,88,46,4048,0.105,425.04,0.0208,84.2,3538.76,2112,422.4,1004.36,synthetic,false,
2029-04-01,analysis,Home,H-02,Task lamp,North,Marketplace,76,97,46,4462,0.0784,349.82,0.0483,215.51,3896.67,2328,502.85,1065.82,synthetic,false,
2029-04-01,analysis,Home,H-02,Task lamp,North,Retail,64,75,46,3450,0.0944,325.68,0.0461,159.05,2965.27,1800,360,805.27,synthetic,false,
2029-04-01,analysis,Home,H-02,Task lamp,South,Direct,68,87,46,4002,0.0468,187.29,0.0188,75.24,3739.47,2088,417.6,1233.87,synthetic,false,
2029-04-01,analysis,Home,H-02,Task lamp,South,Marketplace,61,71,46,3266,0.1074,350.77,0.0546,178.32,2736.91,1704,368.06,664.85,synthetic,false,
2029-04-01,analysis,Home,H-02,Task lamp,South,Retail,52,66,46,3036,0.0739,224.36,0.0323,98.06,2713.58,1584,316.8,812.78,synthetic,false,
2029-04-01,analysis,Home,H-02,Task lamp,West,Direct,78,86,46,3956,0.0755,298.68,0.0298,117.89,3539.43,2064,412.8,1062.63,synthetic,false,
2029-04-01,analysis,Home,H-02,Task lamp,West,Marketplace,71,87,46,4002,0.0718,287.34,0.0365,146.07,3568.59,2088,451.01,1029.58,synthetic,false,
2029-04-01,analysis,Home,H-02,Task lamp,West,Retail,58,65,46,2990,0.1021,305.28,0.0219,65.48,2619.24,1560,312,747.24,synthetic,false,
2029-04-01,analysis,Home,H-03,Linen set,North,Direct,47,57,74,4218,0.1087,458.5,0.0341,143.83,3615.67,2223,336.3,1056.37,synthetic,false,
2029-04-01,analysis,Home,H-03,Linen set,North,Marketplace,48,53,74,3922,0.0527,206.69,0.0569,223.16,3492.15,2067,337.72,1087.43,synthetic,false,
2029-04-01,analysis,Home,H-03,Linen set,North,Retail,38,47,74,3478,0.0853,296.67,0.035,121.73,3059.6,1833,277.3,949.3,synthetic,false,
2029-04-01,analysis,Home,H-03,Linen set,South,Direct,48,64,74,4736,0.1045,494.91,0.0266,125.98,4115.11,2496,377.6,1241.51,synthetic,false,
2029-04-01,analysis,Home,H-03,Linen set,South,Marketplace,38,47,74,3478,0.0718,249.72,0.0318,110.6,3117.68,1833,299.48,985.2,synthetic,false,
2029-04-01,analysis,Home,H-03,Linen set,South,Retail,36,40,74,2960,0.0834,246.86,0.023,68.08,2645.06,1560,236,849.06,synthetic,false,
2029-04-01,analysis,Home,H-03,Linen set,West,Direct,49,54,74,3996,0.106,423.58,0.0415,165.83,3406.59,2106,318.6,981.99,synthetic,false,
2029-04-01,analysis,Home,H-03,Linen set,West,Marketplace,42,55,74,4070,0.0606,246.64,0.0243,98.9,3724.46,2145,350.46,1229,synthetic,false,
2029-04-01,analysis,Home,H-03,Linen set,West,Retail,36,40,74,2960,0.0517,153.03,0.0448,132.61,2674.36,1560,236,878.36,synthetic,false,
2029-04-01,analysis,Home,H-04,Kitchen kit,North,Direct,48,53,86,4558,0.1112,506.85,0.0236,107.57,3943.58,2544,328.6,1070.98,synthetic,false,
2029-04-01,analysis,Home,H-04,Kitchen kit,North,Marketplace,40,48,86,4128,0.1193,492.47,0.032,132.1,3503.43,2304,321.41,878.02,synthetic,false,
